Hen	Jö	NL	Pav	TOTAL SCORE
01 Estonia		12	12	10	34
02 Sweden	12		4	12	28
03 Czechia		6	10	4	20
04 Australia	4	4	6	5	19
05 Norway	8	5	5		18
06 Germany	2		8	8	18
07 Moldova		10	7		17
08 Finland	10			6		16
09 Armenia	7	7			14
10 Ukraine			3	7	10
11 Lithuania		8	1		9
12 France	5	3			8
13 Slovenia	6			1		7
14 Cyprus		2	2	2	6
15 Serbia	1			3		4
16 Israel	3	1			4
17 Austria					0
18 Portugal					0
19 Switzerland					0
20 Poland					0
21 Spain					0
22 Albania					0
23 Italy					0
24 Belgium					0
25 Croatia					0
26 United Kingdom					0
